,,,Week-By-Week Targets,,,,,,,,,,,,,,,,,,,,Averages,,,Receiving Totals,,,
167,Justin Shorter,Fla,0,4,5,2,7,3,1,10,0,7,8,7,2,3,0,0,0,8,0,0,5.2,8.2,16.5,67,41,550,3
168,Shameen Jones,Rut,0,2,2,7,2,3,17,6,0,8,4,4,3,6,0,0,0,0,3,0,5.2,5.0,17.1,67,35,334,0
169,Thayer Thomas,NCSU,0,3,10,5,5,6,0,5,8,3,4,7,5,5,0,0,0,0,0,0,5.5,9.0,15.0,66,51,596,8
170,Neil Pau'u,BYU,0,11,5,5,5,6,8,6,7,7,6,0,0,0,0,0,0,0,0,0,6.6,8.0,17.3,66,46,526,6
171,Yusuf Ali,MiddTn,0,0,0,3,4,5,8,0,6,2,11,3,7,5,0,0,12,0,0,0,6.0,7.2,14.5,66,45,472,4
172,Dante Wright,ColoSt,0,10,8,0,0,0,0,1,5,8,9,7,12,6,0,0,0,0,0,0,6.6,8.4,16.9,66,44,554,3
173,Taylor Morin,Wake,0,1,1,7,6,9,3,0,1,3,5,4,7,5,9,0,0,0,5,0,4.7,9.4,13.1,66,43,621,5
174,Trevon Bradford,OreSt,0,9,7,2,1,2,4,0,6,9,4,5,5,9,0,0,3,0,0,0,5.1,9.6,19.0,66,42,631,5
175,Jacob Copeland,Fla,0,3,5,3,3,8,8,4,0,4,5,1,13,4,0,0,0,5,0,0,5.1,9.7,16.2,66,41,642,4
176,KeKe Chism,Missou,0,5,7,8,10,8,5,1,0,5,4,2,2,4,0,0,0,5,0,0,5.1,7.7,14.8,66,41,511,3
177,Tauskie Dove,Missou,0,4,7,1,4,7,5,9,0,6,5,3,5,4,0,0,0,6,0,0,5.1,8.7,14.8,66,38,576,0
178,Kyric McGowan,GaTech,0,6,8,8,6,0,4,0,12,4,9,3,6,0,0,0,0,0,0,0,6.0,7.1,19.5,66,37,467,7
179,Javen Banks,TxSt,0,6,3,10,6,0,9,5,12,2,6,6,1,0,0,0,0,0,0,0,6.0,8.3,17.7,66,36,548,5
