TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
2.4,7.1,8.6,34,20,242,0,0.000639682759613827,Jimmy Calloway
1.6,3.1,6.8,21,9,65,3,0.0006391753770460922,Elijah Spencer
1.6,7.4,6.9,22,13,162,1,0.0006371250401180353,Malik Benson
2.3,4.7,9.4,32,11,150,1,0.0006353720743376792,Seth Anderson
1.3,13.4,1.2,5,3,67,0,0.0006344688588775381,Jackson Harris
1.0,6.2,3.6,13,6,81,2,0.0006343378012446172,Avery Boyd
2.8,6.0,8.3,34,25,205,1,0.0006334327556191008,Samario Rudolph
1.8,6.6,6.3,20,8,132,0,0.0006323538733112946,Emari White
1.5,3.7,0.9,3,2,11,0,0.0006304570479830731,Ja'Shaun Poke
0.0,0.0,0.0,0,13,135,1,0.0006299653526458867,Chrysten Cochran
